id,reference_code,description,value,is_active,created_at,updated_at,created_by_user_id,updated_by_user_id
daa7b392-270c-45a4-9788-861cb508bee5,9630,Interesse no Produto Ref: 9630,111134.00,True,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,,
8b50617c-4fa1-43ad-9652-b160d639fe14,4504,Interesse no Produto Ref: 4504,127503.66,True,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,,
5b0fb773-3ab3-4c35-81b8-071219dbc9c5,8419,Interesse no Produto Ref: 8419,34186.14,True,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,,
f4302a4f-8109-4880-a589-d78ca11262f5,4587,Interesse no Produto Ref: 4587,50300.98,True,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,,
b1ef3e95-a6b7-4d88-92c2-9582a237ffa2,5809,Interesse no Produto Ref: 5809,108694.80,True,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,,
e9866a3b-dc6b-4602-9c37-591fc65448f0,3537,Interesse no Produto Ref: 3537,61272.28,True,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,,
e2e5fca1-5bb5-4c11-912a-d1db7a311f80,7663,Interesse no Produto Ref: 7663,36559.14,True,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,,
3c94b3e9-eaf5-453a-a365-16b566d8f541,4752,Interesse no Produto Ref: 4752,160202.27,True,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,,
da538bda-3fd1-4e34-85ff-1ae3c11aa119,7249,Interesse no Produto Ref: 7249,119884.57,True,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,,
a2b01bec-20ef-48d5-9c86-a3955a657ccb,3363,Interesse no Produto Ref: 3363,170132.80,True,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,,
eba0b6fe-bb13-482d-a809-6e5353b165be,6395,Interesse no Produto Ref: 6395,68818.40,True,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,,
047cfcc1-afe5-49f3-91d4-0cd28d88103d,9730,Interesse no Produto Ref: 9730,127819.79,True,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,,
e6ed3cef-3862-4849-a79a-0bddea47853c,4803,Interesse no Produto Ref: 4803,52764.22,True,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,,
cda8e285-41f3-4a8b-8b80-409b68a80754,3233,Interesse no Produto Ref: 3233,50944.18,True,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,,
09534861-7d53-4a73-889b-58eac758e1e8,7241,Interesse no Produto Ref: 7241,71115.58,True,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,,
5c4c78dd-8db0-420b-81a5-d42c27ffd6ba,5216,Interesse no Produto Ref: 5216,58716.39,True,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,,
5e59233c-9776-4682-b0ee-317e9065387d,5148,Interesse no Produto Ref: 5148,64089.31,True,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,,
f193ce1c-fa89-42b0-b1cd-d0e4617c5c94,3688,Interesse no Produto Ref: 3688,63869.56,True,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,,
82bb24fd-4299-4129-bf9d-7c99d99721eb,3146,Interesse no Produto Ref: 3146,84149.44,True,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,,
cd5e9e6f-3bc5-474c-82fc-4b3108dc63b9,2884,Interesse no Produto Ref: 2884,51891.95,True,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,,
d648a44c-4dca-4c3d-9999-96e962fd99fa,5123,Interesse no Produto Ref: 5123,112483.49,True,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,,
4a405334-30d3-4c07-ac6b-e60288ff1d66,2825,Interesse no Produto Ref: 2825,63152.93,True,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,,
bd3a5331-14a9-417b-9a5f-b05503e40926,5630,Interesse no Produto Ref: 5630,93176.36,True,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,,
d36dcc14-dff2-433e-9698-73d5c6ee8827,2382,Interesse no Produto Ref: 2382,188545.29,True,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,,
c678f98f-2b63-4a2d-9cfb-5d8588e1417a,8693,Interesse no Produto Ref: 8693,83094.51,True,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,,
4822365a-fab2-4b08-9728-4e0c1d808e4f,8807,Interesse no Produto Ref: 8807,106956.45,True,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,,
f8b3940a-98fa-4c21-bdcc-4ce62c7936ec,4090,Interesse no Produto Ref: 4090,122790.60,True,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,,
e255d6b0-d13e-449f-a4fa-5e75e7e4314b,6546,Interesse no Produto Ref: 6546,99408.88,True,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,,
7eb4def5-3ed8-4b5b-b358-e0025fe301c7,9794,Interesse no Produto Ref: 9794,55994.51,True,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,,
d9026252-e04d-4327-b2ab-280aefd5c8f1,3124,Interesse no Produto Ref: 3124,71119.67,True,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,,
55434ecc-1be5-40e7-9e4d-a026177b648e,3725,Interesse no Produto Ref: 3725,183411.21,True,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,,
1836b5b7-9216-40fb-b10b-f09b922b5ad0,3020,Interesse no Produto Ref: 3020,41105.43,True,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,,
74b1d362-5c0d-400f-b0f3-ff9dc31f31be,8117,Interesse no Produto Ref: 8117,50105.26,True,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,,
6c877af4-e747-44d5-ac75-a3811c462e4d,8275,Interesse no Produto Ref: 8275,193665.52,True,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,,
9194b74b-e794-42f9-a523-60aed1dc536f,8987,Interesse no Produto Ref: 8987,107141.18,True,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,,
8c59f44f-0611-4c16-8494-cfec90c5897c,2107,Interesse no Produto Ref: 2107,117114.69,True,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,,
a09f7c92-f840-464e-a549-53dc17c0868b,2623,Interesse no Produto Ref: 2623,124481.85,True,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,,
c060c7ee-e4c4-4f07-8936-d9dd227a1a1d,2980,Interesse no Produto Ref: 2980,75178.84,True,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,,
69bba60d-0d3c-4e5e-9516-5e4f3fdc88c1,2433,Interesse no Produto Ref: 2433,168816.51,True,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,,
87afc9ab-9b14-4aba-9888-4bc7ddff975a,6314,Interesse no Produto Ref: 6314,50538.43,True,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,,
8cf6ac9b-b931-4a2c-b939-1a030e537d24,5068,Interesse no Produto Ref: 5068,36871.44,True,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,,
77f4942c-aebc-4a55-95a4-3ffa14ded3a2,3385,Interesse no Produto Ref: 3385,54151.37,True,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,,
13814143-2dc4-4599-8f7c-dbf28a818ffa,9304,Interesse no Produto Ref: 9304,70710.37,True,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,,
2f4dfb34-7db4-478b-b3d4-d482090fa0b7,8189,Interesse no Produto Ref: 8189,57394.08,True,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,,
b0569720-3442-429b-abeb-9702793a26c0,6290,Interesse no Produto Ref: 6290,187636.89,True,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,,
