id,source,status,is_active,customer_id,team_id,attendant_id,interest_item_id,created_at,updated_at,created_by_user_id,updated_by_user_id
d55eb256-2cd4-4caf-957e-e56840bf80e1,WhatsApp,new,True,8f6cc03d-5f84-4169-a7c5-31bc8648b9dd,,,daa7b392-270c-45a4-9788-861cb508bee5,2025-09-19 00:49:35,2025-09-19 00:49:35,,
fffff6ba-3602-4639-b1fe-41eccc4a0a0d,WhatsApp,new,True,694503de-8b55-4a5e-b7ae-a866478e1f24,,,8b50617c-4fa1-43ad-9652-b160d639fe14,2025-10-18 03:31:35,2025-10-18 03:31:35,,
c2743b5c-c2ef-464c-81f3-97a4f51d7b71,Mercado Livre,new,True,9244ac57-02b1-48e9-bd0e-dc146b0a5717,,,5b0fb773-3ab3-4c35-81b8-071219dbc9c5,2025-09-25 02:18:35,2025-09-25 02:18:35,,
69976a3b-f349-4f9a-a129-d8dfe5c85642,Indicação,new,True,2b1f2276-97da-4587-a7c6-d48c5c2c49b7,,,f4302a4f-8109-4880-a589-d78ca11262f5,2025-03-31 12:35:35,2025-03-31 12:35:35,,
0187cf31-37fc-4b4e-8f93-57221e900e61,Instagram,new,True,76e15140-771e-40f1-9054-1177d6daf1f0,,,b1ef3e95-a6b7-4d88-92c2-9582a237ffa2,2025-04-07 23:49:35,2025-04-07 23:49:35,,
5d34fbb8-521c-475b-902c-2c1006160a27,Loja Física,new,True,a7ce44ca-9d19-42c8-ac87-16f80a97448d,,,e9866a3b-dc6b-4602-9c37-591fc65448f0,2025-08-24 10:02:35,2025-08-24 10:02:35,,
a9cc3daf-6882-4306-954b-2f94e447a520,Indicação,new,True,6546baeb-1ec7-480c-b61a-c5bfe35c4f9a,,,e2e5fca1-5bb5-4c11-912a-d1db7a311f80,2025-12-26 22:18:35,2025-12-26 22:18:35,,
b3855f79-106d-4842-b604-45a83b5f1bc0,Instagram,new,True,15df9796-1a18-4510-9e1a-20eae5e2715d,,,3c94b3e9-eaf5-453a-a365-16b566d8f541,2025-04-08 22:09:35,2025-04-08 22:09:35,,
f37aeeb9-dbcb-40dc-82c8-fa2d5e088f35,Indicação,new,True,3ba605ea-81dd-445a-8403-5923e3552157,,,da538bda-3fd1-4e34-85ff-1ae3c11aa119,2025-11-07 01:56:35,2025-11-07 01:56:35,,
b4aafe84-0237-4195-81a1-b8396f1800aa,Loja Física,new,True,01d55a44-8b7b-4ab2-b292-031b519bf590,,,a2b01bec-20ef-48d5-9c86-a3955a657ccb,2025-03-31 08:50:35,2025-03-31 08:50:35,,
d2a8f1b1-8933-46fa-8157-add93ec44a37,Loja Física,new,True,b8f21d67-92b1-4b02-8603-c5ba8f185c14,,,eba0b6fe-bb13-482d-a809-6e5353b165be,2026-02-28 03:11:35,2026-02-28 03:11:35,,
f6899f54-aca6-445a-91a6-f99754a82a8e,Loja Física,new,True,40943ce2-cf6a-41d3-893f-709e784c5636,,,047cfcc1-afe5-49f3-91d4-0cd28d88103d,2025-10-14 21:00:35,2025-10-14 21:00:35,,
d3555693-ed6f-496c-8d90-fa8ab80196cb,Mercado Livre,new,True,dfcaf217-00b9-41fa-88c3-03b98756bd51,,,e6ed3cef-3862-4849-a79a-0bddea47853c,2026-02-22 22:16:35,2026-02-22 22:16:35,,
9b28076c-b1b3-466b-839d-73141cc56321,Instagram,new,True,757207b5-1f1d-4bb5-b241-1cddd336ffad,,,cda8e285-41f3-4a8b-8b80-409b68a80754,2026-03-18 01:09:35,2026-03-18 01:09:35,,
4dfe2b2b-2b1a-46eb-9501-0ce7643b85e3,Indicação,new,True,7bbc73fd-6f6a-4b26-9824-73d88816935a,,,09534861-7d53-4a73-889b-58eac758e1e8,2025-07-13 15:04:35,2025-07-13 15:04:35,,
3cb7f38d-94f8-44aa-9524-70b99777a3bd,Indicação,new,True,e577066b-bbc3-4f5f-9703-9a96a68c902a,,,5c4c78dd-8db0-420b-81a5-d42c27ffd6ba,2025-11-30 02:25:35,2025-11-30 02:25:35,,
5501f8a8-d8ac-43f2-ac8a-e96ac90ec41c,Mercado Livre,new,True,2450343f-39e3-4b78-a52b-2fea58538de8,,,5e59233c-9776-4682-b0ee-317e9065387d,2025-09-10 16:35:35,2025-09-10 16:35:35,,
1f412840-ef40-4f12-9011-b3ea910fae80,Instagram,new,True,2dd79122-7ae0-49f0-84c5-9ade852ed609,,,f193ce1c-fa89-42b0-b1cd-d0e4617c5c94,2025-07-03 17:55:35,2025-07-03 17:55:35,,
039c863a-8da4-49a5-969f-0e4b5706f1ed,Facebook,new,True,b1cfabfb-f1cc-4c10-bd22-52231af92af5,,,82bb24fd-4299-4129-bf9d-7c99d99721eb,2025-12-18 00:04:35,2025-12-18 00:04:35,,
857dc3f6-4e52-436a-a5f3-37c7c6074827,Mercado Livre,new,True,232b9699-704f-4cb5-b01d-9c1c3c66616d,,,cd5e9e6f-3bc5-474c-82fc-4b3108dc63b9,2025-10-14 06:35:35,2025-10-14 06:35:35,,
d46d35c4-adc0-4e80-92db-74543fb91ebf,Indicação,new,True,1eb6c38d-2da0-4acc-a684-cc4c728436c2,,,d648a44c-4dca-4c3d-9999-96e962fd99fa,2025-05-05 13:52:35,2025-05-05 13:52:35,,
7ac871ab-6f5d-4358-90d2-363c66b09d3a,Indicação,new,True,96034460-d80c-4c23-9e68-210b5d2a19a1,,,4a405334-30d3-4c07-ac6b-e60288ff1d66,2026-03-01 00:37:35,2026-03-01 00:37:35,,
d1bc8807-42aa-4961-ae86-b262022006d7,Instagram,new,True,d6638c75-6436-4f6b-9d31-1554ea6ac97c,,,bd3a5331-14a9-417b-9a5f-b05503e40926,2025-10-28 00:37:35,2025-10-28 00:37:35,,
c34b3e99-493e-48bf-956d-489bceedaa3a,Loja Física,new,True,0d3dff3d-af73-48d9-8394-4b6474145723,,,d36dcc14-dff2-433e-9698-73d5c6ee8827,2025-11-02 03:02:35,2025-11-02 03:02:35,,
02194326-02eb-465a-a731-faa17b7bd88a,Indicação,new,True,ccbf8e6f-a684-4550-8e56-9a6d28b8b558,,,c678f98f-2b63-4a2d-9cfb-5d8588e1417a,2025-07-09 10:59:35,2025-07-09 10:59:35,,
6f23cd5c-804a-4885-ba58-47a7009d7a44,WhatsApp,new,True,b67c51a0-a475-45d9-9354-9b989c3ffcb2,,,4822365a-fab2-4b08-9728-4e0c1d808e4f,2025-11-22 08:23:35,2025-11-22 08:23:35,,
6cddee7e-296d-4dd1-9f81-26838f923b12,Facebook,new,True,433f79d4-7c31-4eee-82f2-2b6c0cb639c8,,,f8b3940a-98fa-4c21-bdcc-4ce62c7936ec,2025-05-11 10:08:35,2025-05-11 10:08:35,,
3e2be7f8-39da-408b-8215-0c92de71699b,WhatsApp,new,True,61210006-999f-4010-8e71-259b1c77b159,,,e255d6b0-d13e-449f-a4fa-5e75e7e4314b,2025-05-25 18:02:35,2025-05-25 18:02:35,,
