id,team_id,lead_id,customer_id,attendant_id,created_at,updated_at,created_by_user_id,updated_by_user_id
f3a66814-7bf9-4092-93e5-e7287c284450,cec0313d-2230-499a-b971-886f2d19430e,d55eb256-2cd4-4caf-957e-e56840bf80e1,8f6cc03d-5f84-4169-a7c5-31bc8648b9dd,633cbc47-1bb8-4804-8f7e-946a1ac2c844,2025-09-19 00:49:35,2025-09-24 01:09:35,,
53fa5246-1cad-4864-bf12-44489fb630d9,cec0313d-2230-499a-b971-886f2d19430e,fffff6ba-3602-4639-b1fe-41eccc4a0a0d,694503de-8b55-4a5e-b7ae-a866478e1f24,adececea-5b45-4b98-96d4-ec606fa98f55,2025-10-18 03:31:35,2025-10-24 07:00:35,,
dba640a3-e5b4-45f4-95d1-d9bd450e8667,cec0313d-2230-499a-b971-886f2d19430e,c2743b5c-c2ef-464c-81f3-97a4f51d7b71,9244ac57-02b1-48e9-bd0e-dc146b0a5717,633cbc47-1bb8-4804-8f7e-946a1ac2c844,2025-09-25 02:18:35,2025-10-09 02:43:35,,
d845d7ce-4e2a-4952-b5b6-5839b2e2ecbd,ed27708f-5641-4644-9bad-33d626208eb6,69976a3b-f349-4f9a-a129-d8dfe5c85642,2b1f2276-97da-4587-a7c6-d48c5c2c49b7,b63b01a9-2352-4d60-bd91-4dfcb65bebd7,2025-03-31 12:35:35,2025-03-31 16:55:35,,
48e1b8ca-d046-4388-b0be-0fa1af02472c,ed27708f-5641-4644-9bad-33d626208eb6,0187cf31-37fc-4b4e-8f93-57221e900e61,76e15140-771e-40f1-9054-1177d6daf1f0,f34cdc8c-9900-4bcc-816e-e39a4b17b41a,2025-04-07 23:49:35,2025-04-15 04:11:35,,
7d3feae0-19da-4624-88bb-8b4956fe2465,cec0313d-2230-499a-b971-886f2d19430e,5d34fbb8-521c-475b-902c-2c1006160a27,a7ce44ca-9d19-42c8-ac87-16f80a97448d,633cbc47-1bb8-4804-8f7e-946a1ac2c844,2025-08-24 10:02:35,2025-08-26 10:46:35,,
dc8b32ba-62a7-436c-99d8-c11da92004c3,272614b2-2d33-46df-8db7-f41cfa6c6258,a9cc3daf-6882-4306-954b-2f94e447a520,6546baeb-1ec7-480c-b61a-c5bfe35c4f9a,ccb4620b-87d3-4440-b186-0101ae8eb9f4,2025-12-26 22:18:35,2025-12-30 00:18:35,,
eb499e0e-5ab5-433e-9502-e0141341c7be,cec0313d-2230-499a-b971-886f2d19430e,b3855f79-106d-4842-b604-45a83b5f1bc0,15df9796-1a18-4510-9e1a-20eae5e2715d,adececea-5b45-4b98-96d4-ec606fa98f55,2025-04-08 22:09:35,2025-04-16 01:10:35,,
8c68415d-c345-4981-bd50-0e6b794c7245,ed27708f-5641-4644-9bad-33d626208eb6,f37aeeb9-dbcb-40dc-82c8-fa2d5e088f35,3ba605ea-81dd-445a-8403-5923e3552157,74f0b2ce-7aa5-42db-b20e-a0f090a68e79,2025-11-07 01:56:35,2025-11-12 04:04:35,,
edd9e262-18f7-44f5-bff9-a9c1233e06d2,ed27708f-5641-4644-9bad-33d626208eb6,b4aafe84-0237-4195-81a1-b8396f1800aa,01d55a44-8b7b-4ab2-b292-031b519bf590,95d8fcf5-fb21-440a-ae4f-2702688535cf,2025-03-31 08:50:35,2025-04-03 13:28:35,,
