id,status_negotiation,notes,negotiation_id,lead_id,created_at,updated_at,created_by_user_id,updated_by_user_id
daf7f7cf-a798-40a2-8bda-be35f45cf7fb,Aberto,,f3a66814-7bf9-4092-93e5-e7287c284450,d55eb256-2cd4-4caf-957e-e56840bf80e1,2025-09-19 00:49:35,2025-09-24 01:09:35,,
4769609a-e743-43f1-809b-a373af105641,Finalizado com venda,Sucesso / Venda Concluída,53fa5246-1cad-4864-bf12-44489fb630d9,fffff6ba-3602-4639-b1fe-41eccc4a0a0d,2025-10-18 03:31:35,2025-10-24 07:00:35,,
d3b82d7d-63c5-434e-9ac2-716cc4f57e1a,Finalizado sem venda,Preço,dba640a3-e5b4-45f4-95d1-d9bd450e8667,c2743b5c-c2ef-464c-81f3-97a4f51d7b71,2025-09-25 02:18:35,2025-10-09 02:43:35,,
975fd146-3491-4e59-8bc8-42ffd3e93cb8,Em negociação,,d845d7ce-4e2a-4952-b5b6-5839b2e2ecbd,69976a3b-f349-4f9a-a129-d8dfe5c85642,2025-03-31 12:35:35,2025-03-31 16:55:35,,
bf06b504-1539-49ec-83d6-12329f024557,Finalizado com venda,Sucesso / Venda Concluída,48e1b8ca-d046-4388-b0be-0fa1af02472c,0187cf31-37fc-4b4e-8f93-57221e900e61,2025-04-07 23:49:35,2025-04-15 04:11:35,,
be28cac7-c084-4417-830a-a3c19ea70c58,Aberto,,7d3feae0-19da-4624-88bb-8b4956fe2465,5d34fbb8-521c-475b-902c-2c1006160a27,2025-08-24 10:02:35,2025-08-26 10:46:35,,
ef5e9e15-941a-4191-90f4-9f68e6396b7d,Aberto,,dc8b32ba-62a7-436c-99d8-c11da92004c3,a9cc3daf-6882-4306-954b-2f94e447a520,2025-12-26 22:18:35,2025-12-30 00:18:35,,
b2dbbb87-db0f-4614-9dce-8f88d2fb9f0e,Aberto,,eb499e0e-5ab5-433e-9502-e0141341c7be,b3855f79-106d-4842-b604-45a83b5f1bc0,2025-04-08 22:09:35,2025-04-16 01:10:35,,
789ce755-3b43-41fa-a0aa-deca88a0dc9d,Em negociação,,8c68415d-c345-4981-bd50-0e6b794c7245,f37aeeb9-dbcb-40dc-82c8-fa2d5e088f35,2025-11-07 01:56:35,2025-11-12 04:04:35,,
da9e0c21-5ed6-4737-8e5b-8753f26c89b8,Aberto,,edd9e262-18f7-44f5-bff9-a9c1233e06d2,b4aafe84-0237-4195-81a1-b8396f1800aa,2025-03-31 08:50:35,2025-04-03 13:28:35,,
a7b14fb5-1238-41d8-ac0e-8b5b9afa6ac1,Aberto,,7ffa5738-334c-476c-ac05-574252627b6e,d2a8f1b1-8933-46fa-8157-add93ec44a37,2026-02-28 03:11:35,2026-03-04 06:41:35,,
e479755d-436c-4c2b-bc5d-ea6d1986236f,Finalizado com venda,Sucesso / Venda Concluída,ecfa7597-758b-4651-a123-333a7514fc33,f6899f54-aca6-445a-91a6-f99754a82a8e,2025-10-14 21:00:35,2025-10-22 22:04:35,,
f33d3edf-baec-4a86-9148-d103c289b6a0,Aberto,,d22ec7b6-a22e-47ca-a576-b2872153b4bc,d3555693-ed6f-496c-8d90-fa8ab80196cb,2026-02-22 22:16:35,2026-03-02 22:45:35,,
1a0b1777-5255-42ec-8b64-7a552ba56430,Finalizado com venda,Sucesso / Venda Concluída,be5d3c5d-11c8-4fd4-93ef-5065e26fbbd0,9b28076c-b1b3-466b-839d-73141cc56321,2026-03-18 01:09:35,2026-03-27 01:36:35,,
d6eba01c-970c-42be-852c-638209fee50f,Finalizado com venda,Sucesso / Venda Concluída,3a4f5f7a-2cea-4761-ab2c-bd48456ec743,4dfe2b2b-2b1a-46eb-9501-0ce7643b85e3,2025-07-13 15:04:35,2025-07-14 15:13:35,,
f11f2277-a3b8-4217-b18a-b23d45180495,Aberto,,950bc30a-722c-4e1f-8a46-5a6ddaeafd64,3cb7f38d-94f8-44aa-9524-70b99777a3bd,2025-11-30 02:25:35,2025-12-13 03:46:35,,
5e40dfc8-7ad3-4fe0-a807-500d66853c8b,Finalizado com venda,Sucesso / Venda Concluída,7ef79372-444b-4f7e-bde6-908f50a81b42,5501f8a8-d8ac-43f2-ac8a-e96ac90ec41c,2025-09-10 16:35:35,2025-09-16 19:45:35,,
ace3a84a-7bf3-48b5-ad9e-3d159fdc3a92,Finalizado sem venda,Falta de contato,e3a4e931-d0d0-4128-a9fd-005ecf2e1129,1f412840-ef40-4f12-9011-b3ea910fae80,2025-07-03 17:55:35,2025-07-13 19:37:35,,
cc031b2c-aa8f-45d3-9b15-5c461ff28665,Em negociação,,dc0fd588-43a5-4acc-8167-c73ca5684bf7,039c863a-8da4-49a5-969f-0e4b5706f1ed,2025-12-18 00:04:35,2025-12-26 00:13:35,,
00884dc8-76f4-4be2-871a-2417a35fda0c,Aberto,,2f17e666-5a28-4d6c-9ed8-384e7fcc2f8c,857dc3f6-4e52-436a-a5f3-37c7c6074827,2025-10-14 06:35:35,2025-10-20 07:16:35,,
d80abe73-7f36-4f86-891a-1879c67bd454,Finalizado com venda,Sucesso / Venda Concluída,09331bd6-fcc0-4d6b-99a9-05eb934fb504,d46d35c4-adc0-4e80-92db-74543fb91ebf,2025-05-05 13:52:35,2025-05-14 15:17:35,,
b6517a02-9fad-4407-9107-7a05012cc875,Finalizado com venda,Sucesso / Venda Concluída,c2d15991-c2de-4ca9-8ea9-b26168b25e30,7ac871ab-6f5d-4358-90d2-363c66b09d3a,2026-03-01 00:37:35,2026-03-07 01:35:35,,
db14b9bb-f3f3-4600-840b-eb306162fd77,Finalizado sem venda,Sem estoque,ef365aeb-719c-4c62-9861-6febd15b3943,d1bc8807-42aa-4961-ae86-b262022006d7,2025-10-28 00:37:35,2025-11-11 05:05:35,,
56ccd5d7-b1a1-4d91-a8fb-70aa6f1382a9,Finalizado sem venda,Preço,a9945800-2f98-47f0-9634-6665a90fbed2,c34b3e99-493e-48bf-956d-489bceedaa3a,2025-11-02 03:02:35,2025-11-02 06:41:35,,
