id,old_stage,new_stage,notes,negotiation_id,lead_id,created_at,updated_at,created_by_user_id,updated_by_user_id
d1fab101-cf11-40ce-8386-18c6ab460dfe,Início,Contato inicial,,f3a66814-7bf9-4092-93e5-e7287c284450,d55eb256-2cd4-4caf-957e-e56840bf80e1,2025-09-19 00:49:35,2025-09-24 01:09:35,,
ad27219c-8162-45a7-a28c-03cdaf6da53e,Início,Aguardando resposta do cliente,,53fa5246-1cad-4864-bf12-44489fb630d9,fffff6ba-3602-4639-b1fe-41eccc4a0a0d,2025-10-18 03:31:35,2025-10-24 07:00:35,,
043e25f8-e870-46d6-b447-eb6270148dfb,Início,Aguardando resposta do cliente,,dba640a3-e5b4-45f4-95d1-d9bd450e8667,c2743b5c-c2ef-464c-81f3-97a4f51d7b71,2025-09-25 02:18:35,2025-10-09 02:43:35,,
4b949cf2-ab4a-47b7-b595-272c6308bc2f,Início,Aguardando pagamento,,d845d7ce-4e2a-4952-b5b6-5839b2e2ecbd,69976a3b-f349-4f9a-a129-d8dfe5c85642,2025-03-31 12:35:35,2025-03-31 16:55:35,,
5f4b5053-4c19-43e1-92e3-29b5bf618428,Início,Enviou proposta,,48e1b8ca-d046-4388-b0be-0fa1af02472c,0187cf31-37fc-4b4e-8f93-57221e900e61,2025-04-07 23:49:35,2025-04-15 04:11:35,,
b405d9e5-771b-4f71-84f8-635d31701ca7,Início,Aguardando pagamento,,7d3feae0-19da-4624-88bb-8b4956fe2465,5d34fbb8-521c-475b-902c-2c1006160a27,2025-08-24 10:02:35,2025-08-26 10:46:35,,
6c36c385-0c22-4e73-88dc-00d5296e0b97,Início,Contato inicial,,dc8b32ba-62a7-436c-99d8-c11da92004c3,a9cc3daf-6882-4306-954b-2f94e447a520,2025-12-26 22:18:35,2025-12-30 00:18:35,,
a05b46f8-6e09-4971-8d43-880b94be73c0,Início,Teste drive,,eb499e0e-5ab5-433e-9502-e0141341c7be,b3855f79-106d-4842-b604-45a83b5f1bc0,2025-04-08 22:09:35,2025-04-16 01:10:35,,
3af354a0-24cd-40c2-9015-dbcfa6c8d14e,Início,Aguardando resposta do cliente,,8c68415d-c345-4981-bd50-0e6b794c7245,f37aeeb9-dbcb-40dc-82c8-fa2d5e088f35,2025-11-07 01:56:35,2025-11-12 04:04:35,,
dff71ec7-c6e0-4a3d-9d0d-3526a16f5e13,Início,Teste drive,,edd9e262-18f7-44f5-bff9-a9c1233e06d2,b4aafe84-0237-4195-81a1-b8396f1800aa,2025-03-31 08:50:35,2025-04-03 13:28:35,,
ac0a97a8-9a81-4434-af41-0fc8056ed405,Início,Aguardando resposta do cliente,,7ffa5738-334c-476c-ac05-574252627b6e,d2a8f1b1-8933-46fa-8157-add93ec44a37,2026-02-28 03:11:35,2026-03-04 06:41:35,,
876019d1-f94d-4577-a088-f55e03d58723,Início,Contato inicial,,ecfa7597-758b-4651-a123-333a7514fc33,f6899f54-aca6-445a-91a6-f99754a82a8e,2025-10-14 21:00:35,2025-10-22 22:04:35,,
c0622445-5c47-4601-aafa-37f74a9072e8,Início,Enviou proposta,,d22ec7b6-a22e-47ca-a576-b2872153b4bc,d3555693-ed6f-496c-8d90-fa8ab80196cb,2026-02-22 22:16:35,2026-03-02 22:45:35,,
e64f6d3e-00e1-4216-b0c8-504622731609,Início,Teste drive,,be5d3c5d-11c8-4fd4-93ef-5065e26fbbd0,9b28076c-b1b3-466b-839d-73141cc56321,2026-03-18 01:09:35,2026-03-27 01:36:35,,
e0c3a247-256a-41e0-9e1f-b2bdb7157701,Início,Teste drive,,3a4f5f7a-2cea-4761-ab2c-bd48456ec743,4dfe2b2b-2b1a-46eb-9501-0ce7643b85e3,2025-07-13 15:04:35,2025-07-14 15:13:35,,
c5854267-e4ac-41bd-9950-cb0328cec1b1,Início,Contato inicial,,950bc30a-722c-4e1f-8a46-5a6ddaeafd64,3cb7f38d-94f8-44aa-9524-70b99777a3bd,2025-11-30 02:25:35,2025-12-13 03:46:35,,
e8f70ef0-6e46-4ed2-a0f7-35d7263e8773,Início,Enviou proposta,,7ef79372-444b-4f7e-bde6-908f50a81b42,5501f8a8-d8ac-43f2-ac8a-e96ac90ec41c,2025-09-10 16:35:35,2025-09-16 19:45:35,,
964830a8-7a57-4dcf-8b5f-907f8d86521c,Início,Contato inicial,,e3a4e931-d0d0-4128-a9fd-005ecf2e1129,1f412840-ef40-4f12-9011-b3ea910fae80,2025-07-03 17:55:35,2025-07-13 19:37:35,,
1b470301-51ee-4a50-ad8c-439f6fe9825e,Início,Teste drive,,dc0fd588-43a5-4acc-8167-c73ca5684bf7,039c863a-8da4-49a5-969f-0e4b5706f1ed,2025-12-18 00:04:35,2025-12-26 00:13:35,,
d979b96e-b1e6-4a70-bebb-3efebae5b918,Início,Aguardando resposta do cliente,,2f17e666-5a28-4d6c-9ed8-384e7fcc2f8c,857dc3f6-4e52-436a-a5f3-37c7c6074827,2025-10-14 06:35:35,2025-10-20 07:16:35,,
ae6552de-cb03-410d-9be4-717c292d5ba8,Início,Teste drive,,09331bd6-fcc0-4d6b-99a9-05eb934fb504,d46d35c4-adc0-4e80-92db-74543fb91ebf,2025-05-05 13:52:35,2025-05-14 15:17:35,,
23c64643-7461-4353-94df-ea4175e90b59,Início,Contato inicial,,c2d15991-c2de-4ca9-8ea9-b26168b25e30,7ac871ab-6f5d-4358-90d2-363c66b09d3a,2026-03-01 00:37:35,2026-03-07 01:35:35,,
534d92f7-4f4f-4b14-86db-415138cb04fd,Início,Enviou proposta,,ef365aeb-719c-4c62-9861-6febd15b3943,d1bc8807-42aa-4961-ae86-b262022006d7,2025-10-28 00:37:35,2025-11-11 05:05:35,,
1e0a5163-22a0-4d15-84e5-6c5772fbf42e,Início,Aguardando resposta do cliente,,a9945800-2f98-47f0-9634-6665a90fbed2,c34b3e99-493e-48bf-956d-489bceedaa3a,2025-11-02 03:02:35,2025-11-02 06:41:35,,
e5326b41-5175-4fb0-89f3-021c6b9bf70d,Início,Contato inicial,,5498a507-4c1f-4d63-954a-a1a703f46cc3,02194326-02eb-465a-a731-faa17b7bd88a,2025-07-09 10:59:35,2025-07-14 15:32:35,,
